"","NAME_0","NAME_1","codes","temp_mean","agri_gc_mean","barren_gc_mean","ttime_mean_mean","urban_gc_mean","cmr_mean_mean","imr_mean_mean","Battles","Riots","Protests","Armed.clash","Violence.against.civilians","Abduction.forced.disappearance","Attack","Sexual.violence","Mob.violence","Violent.demonstration","Excessive.force.against.protesters","Peaceful.protest","Protest.with.intervention","fatalities","area_km_2","road_length_km","road_density","Homicide_mean","Population_mean","Rate_mean","Homicide_obs","Rate_obs","Population_obs","capital_name","country_capital","capital_coordinates","distance_capital"
"1","Argentina","Neuquén","ARG_nat",9.40724037559199,5.35198814854839,20.264133016129,363.102842419355,0.0154818796774194,4.40866935,126.41842516129,0,0,4,0,0,0,0,0,0,0,0,4,0,0,94422.0026405507,5334.87833664459,0.0565003726615883,38.6315789473684,568249.954089052,6.79834264294799,19,19,19,"Neuquen",0,"c(-68.0666666666667, -38.9500002777778)",984.126359882453
"2","Argentina","La Pampa","ARG_nat",16.0145597590561,20.2471898754302,1.80981026768605,252.252090116279,0.00523973546511628,5,156.200937209302,0,1,10,0,0,0,0,0,0,1,0,10,0,0,143480.534426526,12516.1952726158,0.0872327059739602,10.2631578947368,327334.493405088,3.13537317377543,19,19,19,"Santa Rosa",0,"c(-64.2833333333333, -36.6166669444444)",573.818892021722
"3","Argentina","Mendoza","ARG_nat",11.0819783974592,5.22299599949367,18.8800752430633,332.581918987342,0.0146897956962025,4.72879636329114,153.969223544304,0,1,8,0,0,0,0,0,0,1,0,7,1,0,149077.680509904,11006.7315576912,0.0738321895004258,130.631578947368,1775159.49928922,7.35886431611773,19,19,19,"Mendoza",0,"c(-68.8166669444444, -32.8833330555556)",978.821093527842
"4","Argentina","San Luis","ARG_nat",17.2288222798253,23.4406450263043,2.31834328382609,217.252827608696,0.00422705217391304,5,190.156873913043,0,0,4,0,0,0,0,0,0,0,0,4,0,0,75350.0849683308,6134.07599374153,0.0814076851581473,14.6315789473684,438982.044134947,3.33307002936789,19,19,19,"San Luis",0,"c(-66.3499997222222, -33.3)",744.154102276786
"5","Argentina","Córdoba","ARG_nat",17.739905328123,69.0174201334483,0.964294474195402,175.498238505747,0.0300837206896552,5,249.556774712644,0,2,19,0,1,0,1,0,1,1,0,19,0,0,164708.750455674,16341.140207164,0.099212337911347,130.421052631579,3388300.0583775,3.84915888157885,19,19,19,"Cordoba",0,"c(-64.1833325, -31.4000002777778)",642.487224972705
"6","Argentina","Santa Fe","ARG_nat",19.2424347628667,63.8922491428571,0.152560001428571,197.904158701299,0.0611271364935065,5,164.002435064935,0,2,26,0,2,0,2,0,1,1,0,26,0,0,133247.38923876,11849.1499545343,0.0889259446074577,305.894736842105,3253542.79068592,9.40189684050893,19,19,19,"Santa Fe",0,"c(-60.6999991666667, -31.6333327777778)",390.293388558214
"7","Argentina","Entre Ríos","ARG_nat",18.4790062291725,59.9720936086957,0.0953487793478261,201.836962173913,0.139090165652174,4.93988784782609,176.242930434783,0,0,1,0,0,0,0,0,0,0,0,1,0,0,78383.6944340113,6432.16782355125,0.0820600237076894,72.3684210526316,1262652.03739273,5.73146194751059,19,19,19,"Parana",0,"c(-60.5333330555556, -31.7333338888889)",372.594223040857
"8","Argentina","San Juan","ARG_nat",8.07314790580292,2.40727270826415,44.9658054132075,490.304141509434,0.00494991924528302,4.38670908113208,183.88659245283,0,1,5,0,1,0,1,0,1,0,0,5,0,0,88296.3452061121,4388.15616116397,0.0496980497994634,16.6315789473684,695964.720857175,2.38971580727316,19,19,19,"San Juan",0,"c(-68.5166675, -31.5333327777778)",999.109550284958
"9","Argentina","La Rioja","ARG_nat",14.7023036534483,1.84396687245283,23.2983450162642,469.349705660377,0.000931749433962264,4.85636790566038,199.2503,0,0,1,0,0,0,0,0,0,0,0,1,0,0,91493.4947267864,5261.11600941239,0.0575026238217579,7.63157894736842,339360.196431072,2.2488138053982,19,19,19,"La Rioja",0,"c(-66.8500002777778, -29.4333327777778)",978.155853993756
"10","Argentina","Catamarca","ARG_nat",9.39512844807446,5.93638602761017,28.6015887348983,587.278338983051,0.0037664779661017,4.61725553728814,192.30196440678,0,1,3,0,0,0,0,0,0,1,0,3,0,0,101486.685270133,6651.65826795309,0.0655421767914482,8.73684210526316,375132.27585432,2.32900303909228,19,19,19,"Catamarca",0,"c(-65.7833325, -28.4666675)",972.797453582054
"11","Argentina","Tucumán","ARG_nat",16.1544636794707,38.7347709444444,4.55265131994444,303.846388888889,0.0776749,5,196.243333333333,0,3,12,0,0,0,0,0,2,1,0,12,0,0,22592.1472080866,1783.23733678021,0.0789317332414477,71.5263157894737,1498682.0145661,4.77261454359831,19,19,19,"San Miguel de Tucuman",0,"c(-65.2166669444444, -26.8166672222222)",1078.56777410476
"12","Argentina","Jujuy","ARG_nat",9.0995947637996,11.5289115581818,34.1078220993333,614.63463030303,0.0335765151515152,5.66003778787879,277.075987878788,0,0,3,0,0,0,0,0,0,0,0,3,0,0,53244.1034773353,3173.19340324245,0.0595970857992417,27.8421052631579,684107.940252109,4.06984097464173,19,19,19,"San Salvador de Jujuy",0,"c(-65.2999986111111, -24.1833327777778)",1331.45506206842
"13","Argentina","Chaco","ARG_nat",22.1905362706122,23.6683638698113,0.0297001609245283,363.96288490566,0.00524792283018868,4.96168762264151,163.955979245283,0,0,3,0,0,0,0,0,0,0,0,3,0,0,99764.2457669571,7897.29280258032,0.0791595500158232,70.7894736842105,1082540.56133714,6.53919827232821,19,19,19,"Resistencia",0,"c(-58.9833325, -27.4499988888889)",794.354248849862
"14","Argentina","Formosa","ARG_nat",23.1067557490665,11.2049965695652,0.0128153499130435,414.378189130435,0.0036902847826087,4.90629734090909,215.7567,0,0,2,0,0,0,0,0,0,0,0,2,0,0,75488.324666608,5159.58742944872,0.068349475925395,41.2105263157895,546843.682381622,7.53607066215133,19,19,19,"Formosa",0,"c(-58.1833322222222, -26.1833330555556)",933.422835620244
"15","Argentina","Santiago del Estero","ARG_nat",21.7196719650785,30.1173952882353,0.661591693955882,282.875566470588,0.00258714558823529,5,166.289654411765,0,0,4,0,0,0,0,0,0,0,0,4,0,0,136933.736033154,13078.8971358182,0.0955125998508618,35.8421052631579,879750.36720817,4.07412222820667,19,19,19,"Santiago del Estero",0,"c(-64.2666661111111, -27.7833330555556)",936.879314472457
"16","Argentina","Tierra del Fuego","ARG_nat",4.93900551375589,8.02882426208333,1.5124873425,508.120116666667,0.00784465041666667,4.30027145833333,80.4956958333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20194.3127150604,888.157046212358,0.0439805532747838,3.68421052631579,133114.890660657,2.76769226044571,19,19,19,"Ushuaia",0,"c(-68.3153905555556, -54.8005111111111)",2371.62133281095
